ticket_number,message,tags
756,"hey @Gabriele Inacio, sorry for the inconvenience, but this is taking longer than expected to debug the issue. My other colleagues are taking over the debugging now.If it's causing a lot of issue, might I suggest to disable the email for just another day? got it. working on this only, hoping to get it fixed ASAP. you can configure SLAs over - app.getatlas.io - configuration > sla regarding the routing issue, as a temporary measure, I have created a few inboxes that would help the team sort the tickets from the vendor tickets vs the customer tickets. @Gabriele Inacio Apologies for the delay here. we are still working on this and most likely will take couple of more hours to fix and deploy. Did the custom inbox solution that @Piyush Raj Created is not working for you? Hey Gabriele. What page is that? Your whatsapp inbox is back now @Gabriele Inacio Do you have a quick min to sync meet.google.com wanted to make sure if you are able to use this workaround while we are fixing this issue Are you able to use bulk close feature? you should be able to see ticket in top of your inbox Than you can select a whole set of ticket by pressing control + A and than close all of them at once Can you try selecting 20 tickets at time and try to close Hey Gabriele, we just fixed the issue — it was due to customer segments definition were not correct.I will send details on how you can check if the customer segment are correct on it soon It was a configuration error — but system doesn’t make it to able to see if customer segment definition is correct or not I am going to make a change so you can easily verify this information on your end. I have fixed all the rules but if you still see any new ticket that should be auto closed not closing — can you give me ticket link and the routing rule that it should apply Do you intent to create a sidebar? 1. if you click on ticket button, it would create a new ticket2. if you want to start a sub-ticket or what we call a sidebar, you can click on … menu and click on start sidebar add other people as to/cc and it would send them that email and when they reply, you will see an update on the ticket We should make it clear it that model but yes this is supposed to be used for sending same message to multiple customers Checking Regarding 85499 — XNET customer segment is only for user where customer.email contains xnet this ticket is from mailto:plus@gomytravel.com.br email For both tickets from 85500 and 85501 --> subject doesn’t contain word Azul Aereas in it @Gabriele Inacio what do you mean? I trying to say why these are not matching It might be worth while to sit with @Jon OBryan and write these rules Yes, would love to talk, do you have availability today? @Gabriele Inacio If you send use the rules in a spreadsheet if can create them for you",Bug
757,"Are you unhappy with your current POS system? Table Needs POS System was designed with your restaurants or bar in mind. We offer a cash discount program that encourages customers to pay quickly, an order flow process that makes taking orders more efficient, and the ability to run your store on less staff. May I give you more information?Thank you for your time,Matthew MazankowskiCROTable Needsmatthew@tableneeds.coRespond with stop to optout. Hey Matthew, nice to meet you! How can we help?",Sales
758,"Do you integrate with any call center applications? Hi Jason, we do! We currently integrate with Dialpad and Aircall. Which tool did you have in mind?",Sales
759,"Gabriele, could you please refresh the page and attempt another response? Did that work @Gabriele Inacio? @Gabriele Inacio are you still seeing this?",Bug
763,"Hi atlas, whats the best way to conditionally show the chat bubble. For example I only want to show the the atlas chat bubble on certain pages. I tried tweaking window.Atlas.chat.stop and start but doesn't work that well Hey Code, what is the issue you faced with window.Atlas.chat.stop and window.Atlas.chat.start One other option is to hide the Atlas bubble and show a custom button that you control// Hide the launcher on startupwindow.Atlas.call(""start"", {  chat: {    hideBubble: true   }}) to trigger it based on a buttonwindow.Atlas.chat.openWindow() hmm okay let me try that I get a atlas.bundle.js:2445 Atlas Start Error: Atlas start should not be called before Atlas.shutdown() when I switch between pages is there something I should know the way atlas runs? Are you getting this error on try the new method?  I think actually that's the right way to go -- that way Atlas chat will always be there just not showing to client yea I hae an else ifconst hideAtlasChatBubble = () => { const pagesToHideAtlasChatBubble: String[] = [Path.AUTH]; if (pagesToHideAtlasChatBubble.includes(window.location.pathname)) { window.Atlas.call(""start"", { chat: { hideBubble: true, }, }); } else { window.Atlas.call(""start"", { chat: { hideBubble: false, }, }); } }; what I meant is that you just do this oncewindow.Atlas.call(""start"", {  chat: {    hideBubble: true   }}) and then add a floating button that you hide and show Chat With Us  <button onClick={window.Atlas.chat.openWindow()> Chat With Us </button> ahh gotcha okay if thats the best practice I'll go with that, thanks Hey Cody, Just wanted to see and check if are still facing any issues with this? I am happy to jump on call if you need any help with the setup. ",Product Question
766,"checking Seems like Marcos is facing this issue in particular.I would suggest to clear the browser cache once, and logout and login. That should take care of the problem.",Bug
767,"Hello guys I'm facing troubles with the system I can't reply to messages hey Marcos It kees sending forever I am sending you a step by step guide to fix this issue on your end I already clean my cache browser and logout and login as well sending in a permanent fix but the problem is still up hey Marcos, please check if you are able to understand these instructions. just a moment please let me check done you should be able to use the application now. should i refresh my page? oh perfect, let me see if it worked it worked! Thank you for your help amazing!!Thanks for your patience.We are shipping in a permanent fix. thank u",Bug
768,"The user that (Helysa) was sending messages from one number (+559891523854) but Portao3's identify call was resetting their number to the one used in Portao3 database (+5598984810618) when they logged in.However, to prevent confusion in the future, we’d recommend updating this user’s number in Portao3 so that any new outbound tickets you send to them go to the correct number. @Gabriele Inacio & @Fernando Nery, we’ve seen several cases where:1. customers have a primary number that comes from identify or Hubspot 2. a customer will subsequently send a message from a different number, so they show up as a visitorTo prevent these in the future, if you happen to have a file with your customers with multiple numbers per customer, we can give you a way to upload that so that this doesn’t occur. In the situation where these numbers are numbers you’ve never seen before, we’ll have a Merge Customer flow built in the not-too-distant future to cover these cases.",Product Question
769,"Would it possible for supplier to forward the initial email and second email (that started a new thread) I think I get it Can you give the ticket url to me It is called email threading — and different email client/provider handle this differently. We just would need to make sure it works properly for this provider email. Also, is it happing for one domain or multiple of them. Can you give couple of ticket url (from different suppliers) where this is happening I think I get what is going on this might take a day or two to figure out on our end I will give you an update in 2-3 hours on what we find @Gabriele Inacio We made a change to help with this issues — can you check with your supplier if this is working now. This is only change for new tickets that were starting after 8AM PST today. @Gabriele Inacio Is this is the same problem that you had before? that when you are sending emails they are threading properly?",Product Question
770,"Hi there! How do I install Atlas? Hi Christopher! To install Atlas, just add the snippet from here to the of your app/website. If it’d be helpful, I’d be happy to hop on a call to help you get it setup (you can grab a time on my calendar here).",Product Question
772,"hey Tiago,if you are just trying out the APIs, I would suggest to drop customFields for now.There's a bug, and the fix would be shipped by the end of the day today.You can try adding custom fields from tomorrow onwards, ince the fix gets shipped. that is try with just}    status: 'OPEN',    customerId: ,    subject: Alteração de reserva (${order.id}),    messages: [      {        text: standardTicketMessage,        senderId: ,        side: 'test',      },    ],} Will ping here once the fix for custom fields has been shipped.Do let me know if you have any questions about using the APIs.Also, wherever you feel like the APIs can be made more developer friendly, please share your suggestions, we will prioritize and ship. Customer Id could be one of the three ids• email• portao database id • actual customer id (atlas database id) side refers to this enumenum Side {    CUSTOMER = 1,    AGENT = 2,}using the side + id, we validate if the customer or agent exists or not @Tiago Mendonca the fix is in the production. Please test and let me know.",Product Question
773,"Hello, I'd like to know if Atlas is HIPAA compliant I would like to know if Atlas's email ticketing system supports 1) Changing the ""Reply from"" field. 2) Adding a BCC field. 3) Uploading custom images to each email. Hi Steph! We’re not presently HIPAA compliant unfortunately. We are getting our SOC 2 certification at the moment, however.For your questions:1. Reply from: You can set your domain globally for responses and we let you receive emails on multiple addresses, but we don’t currently let you specify a “Reply from” on a per ticket basis.2. BCC: We do support BCC.3. Images: You can attach any image to emails.Happy to hop on a chat for more details if it’s helpful!",Product Question
774,"Hi! I was wondering what the best way to conditionally show/hide the chat is? I am using: window.Atlas.call('start', { chat: { hideBubble: false } });and window.Atlas.shutdown(); Is there any way to update hideBubble value without having to shutdown and start again? Hey Chris, yes so you start with hiding the bubblewindow.Atlas.call(""start"", {  chat: {    hideBubble: true,   }}) And then add a custom button who visibility you control and on click on that button you can do the followingwindow.Atlas.chat.openWindow() Ah so I need a custom button. Thanks! Also, is there any way to disable session recording? Or is it required? you can disable by passing thewindow.Atlas.call(""start"", {  recording: {    enabled: false  }}) Perfect, thanks so much! And sorry about this last one, but is there a way to clear ""identity"" after someone logs out/event? We don’t have a way to logout (other than shutdown/start) right now but let me add that today (we have that method internally as a private method just not exposed to be called from SDK) I will ping you later tonight or tomorrow when it is live Ah that would be much appreciated, thanks Rahul! Love the product btw! Appreciate the kind words 🙏 We are also a small startup and would love any feedback you have (feature requests/bugs) For sure! I actually stumbled upon you guys while on loops.so website and thought the chat looked super clean! Chris, you should be able to logout the user now -- window.Atlas.logout() . Let me know if you need anything else. Awesome thanks! Sorry for late reply! Also we got an email from Jon about leaving Atlas, but our feature flag was just disabled in Prod since we just released it Got it! Do you guys use Slack Connect, we can create shared slack channel so it is easier to provide feedback, report any issues. Yeah we do, that'd be awesome! Great. just sent an invite!",Product Question
776,"hey guyss, good morning!is everything okay with atlas today?tried to creat a new customer and it's returning a ""server erro"". also the snooze buttom isn't working well (tried to snooze 2 tickets to custom date and time and the ticket didn't get snoozed. only worked when i chose one of the other options (next week) hey Marcia, checking this now.But, yes the app is stable and running well. The server error is because the customer already exists with the specified email -- app.getatlas.ioI would suggest to add the phone number directly to the customer profile. I have added the number to the customer profile for you Ohh, I see! after the error, i tried searching for the customer but when i tried typing her email, the box did'nt allow me to type anything closed the box and tried to search first (intead of trying to create the customer and coming back) and it worked ah! ok. Will take a look at these two errors• Not allowing to type in search customer if something goes wrong• Snooze ticket. thankss a lot, piyush!also, the search mechanism hasn't been working well either, could u take a look at it too? oh! Fixing search on priority... its the same when i try searching for an email directly on the search box or use the ctrl + kit doesn't filter right oh, thats great!",Bug
777,"Guys, good morning!I saw that there is an icon inside the Atlas that looks like something related to telephone connections.From what I understand we don't have this functionality, or do we? Good morning, Gabriele!We don’t have a direct integration with the telephony providers.This button is displayed in the top right of the customer profile when they have an associated phone number.Clicking it will prompt to call the customer from the default application on agent’s computer that handles calls such as Zoiper or its alternatives. This needs to be set up separately with a telephony provider. Thanks! @Gabriele Inacio, happy to talk more details here as well. @Fernando Nery and I discussed this before setup as a possibility. We currently support two integrations: Dialpad and Aircall. Both of these will allow you to make outbound calls from Atlas and see inbound calls in your customer timelines as well.Let me know if you’d like to chat more about it!",Product Question
779,"Hi guys, are we experiencing some instability?Messages are taking a long time to load. @Gabriele Inacio taking a look. Is there a particular profile that's loading slowly for you? hey @Gabriele Inacio per our monitoring logs the system seems to be stable. It could be an issue specific to user.Trying to figure that out. the slowness was reported by the team.It could be something with our connection apparently it's normal now",Bug
780,"I noticed that there was a change in this field: I feel like it was easier before Thanks for the feedback. I think you are referring to the contacts that you were able to see previously? And now only name is being displayed exactly Got it. Thanks again for the feedback, I think we should be able to ship something within the next hour or two. the changes to switch customer are liveNow we show theName (email, phone) like it was previously displayed. Please provide your valuable feedback on this implementation, and does this solve the problem for you?",Feature Request
781,"Another point to mention is that sometimes customers send some content that we can't view. I even asked if it was an image, but the response was negative.In this example, you can see a message notification with no information. Checking for the message contents. seems like the message actually didn't come in with any attachments. Looking further on Twilio's side. just checked on Twilio, seems like actually there was no text or attachment received on the Twilio's end, so it didn't get forwarded to Atlas. Hey @Piyush Raj, thanks for the update. What could this be than? I don't think that it is possible to send an empty message/text on WhatsApp could this be a ping of sorts that we should ignore on Atlas so the ticket doesn't reopen? @Gabriele Inacio se vc puder pedir para o cliente mandar um screenshot da tela dele no whatsapp dele, talvez ajuda a debugar o que foi essa mensagem que recebemos (talvez ele enviou e excluiu, por exemplo?) ou se realmente não foi nada hey Fernando. That's exactly the fix we have shipped!Now, only if there is a text or attachment in the message, we process the message, else we just ignore the message, and log the exception.",Bug
782,"how can we help you, Jason? Do you have any telephone integrations? we have dialpad and aircall integrations. do they include sms? Also what is they ey difference between Atlas and something like freshdesk or Zendes? we have native SMS support as well allow you connect you to your own twilio account if you have one We are in same product category as Zendesk and freshdesk but we are much mordern, fast applciation and we do a lot of things differently than what Zendesk or Freshdesk do Would be happy to get on a call and show you what we have Sure we can do that. here is link to our calendar: calendly.com or if I get link to your calendar so we can pick a slot I will pick a time. What is your name? Sorry I see it Thanks Rahul Thanks Jason! Looking forward to talking with you.",Sales
784,Hi Noah! How can I help you today? just wanted to see what the chat client looked like,Sales
785,"some bugs in the help centre editor, like I can't find a way to delete this image: My guess is, if you just do a double backspace, it should delete the image. The idea is to be keyboard first.Haven't checked myself right now, but that is how it was supposed to work. @John I was able to reproduce this — will get it fixed soon! @John this is now shipped to the production. Was shipped a while back, forgot to update here.",Bug
787,"Hi how can we update billing and see our invoices Hey Hayden, here is the link to update you payment detailshttps://billing.stripe.com/p/subscription/update_payment_method_link/CBcQARoXChVhY2N0X[…]dVeIpHxZZ1J2WQAwhEkZwyXVyR8sYt8EvG136alpSCQn7iOwbdhDFYQUeOA $200 / month feels super high? i didn't realize we were being charged this much -- we had worked on a deal with Jon when you guys first launched where we didnt have to pay for a 5 seat minimum how long have we been paying $200 a month... I think the discount was for a year and since than it has been $200/month But let me ask Jon to connect with you on the details on pricing we really just need 1 seat at this point for chatotherwise we're gonna have to move this to hubspot only person who responds rn is Camila Ok, let me chat with Jon and get back to you later today thank you Hey Hayden! I think we originally set it up for a year. Happy to give a refund on the delta for the prior 4 months and put you back on the $50/mo plan. Also, realized you guys don’t have session recording turned on — happy to help get that setup if you’d like (not sure how much you guys are using the web app right now?).",Sales
789,"@here I’m seeing responses being sent via chat (not email) even though the member is no longer live on the site:Examplesapp.getatlas.ioapp.getatlas.ioapp.getatlas.io Taking a look @Jocelyn Weigel We have updated this feature now and this should not happen now — we have also updated settings to change when does fallback email goes out app.getatlas.io @Rahul Asati how can we tell if an email has been sent? It’s still noting just ‘sent via chat’app.atlas.so @Jocelyn Weigel You will see it now Right now the fallback goes if the customer has not read the message in last 10 mins (you can the number here). If customer reads the message in 10 mins, we won’t send the email. Also, if you send them 3 message on same ticket in 10 mins, we will send a single email with those 3 messages. Let me know if you have any questions",Product Question
790,"how do i implement chat in a sveltekit app? also, i can't seem to reset my password? Hi Thomas, sorry for a delay here What goes wrong with password request? Re: using Atlas in SvelteAtlas snippet is a plain Javascript that is embedding a script tag to the page head. Does Svelte allow to insert a JS code into head? Hi no worries, I managed to get atals working in svelte Erm I am trying to reset my password (i think my password manager saved the wrong password) but i am not getting the reset mail Glad to hear about Svelte!Checking what is wrong with the email Have received one from support@getatlas.io and subject Reset your passwordCould it have landed in Spam or a Promotion inbox? Nope, nothing in my inbox or spam I have sent another one to email@thomasmol.com. If it doesn't come, I'll try to figure out the reset link okay thanks till nothing.. still* There is a different email in the auth: thomas@audiogest.appI have changed the password to jujfan-0jucco-KajvifPlease try logging in and resetting it again from your profile okay that worked, but my email still has my old email (email@thomasmol.com) in my profile and i am not getting the email on thomas@audiogest.app Yeah, we're going to check how this happened and update it for your profile alright thanks! We have updated the email address in the DB. Now the reset email should go through 🤞 Hey Thomas, Apologies for the trouble caused. Do you need any other help with Atlas (feel free to book a call with our CEO for a quick demo calendly.com) Hi Rahul, no problem! Everything is setup now and working great, thanks for reaching out Hi just a quick question regarding the loading of the code snippet, according to google's lighthouse test and pagespeed insights test there is a lot of 'unused code' causing quite a slow down in page loading. Is there a way to improve this? Hey Thomas, that’s not great! Let me take a look this in next day or so and get back to you! Alright thanks!",Feature Request
791,"hi hello Yonathan hey there, i messaged a few days ago and the thread just vanished. i would like to have my chat messages delivered to my customer's email if they don't read the chat message within a minute or so... ive seen a few times where the message shows ""READ ON EMAIL"".... you mean you raised a ticket to Atlas, and are not seeing it? how can I send all messages to EMAIL? I had a chat with someone the other day about it, now i cant find iit here like this one above currently this happens automatically, and not configurable by an agent.We are making a change that would help user get more control over this behavior. Should be out in next two weeks. but how do i make sure my customer gets the message, it feels like this is happening randomly currently, the best way to have a control over the message delivery, I would suggest using ComposeIt's available in --• Inbox• Customer Profile got itttt..this was kind of hidden but this is perfect now, thanks",Bug
793,"I'm creating a chatbot and i have a question If the customer gets to the end of the chatbot and all questions have been answered, how can i just close the ticket automatically? hey Yonathan, it is definitely possible. You should be able to do it via choosing ticket block, and mark the ticket status as closed. There are other ways of doing the same, in case you want to close the conversation without creating a ticket. This article covers the most common chat bot use-cases and templates https://help.getatlas.io/articles/355757-templates",Product Question
794,"#86887Guys, our supplier informed us that the history is not reaching them, could you check? @Gabriele Inacio what do you mean by email history? Are they not getting the all emails? Or something wrong the email getting to them? On that ticket it seems like they got the email and read it as well",Feature Request
798,"Good morning.I was unable to send this message.It would be interesting to have some possibility of visualizing the reason for the error.If it was something that I made a mistake or it is something related to the system. Good morning, Gabriele!It is supposed to display why message has failed to send.Will figure out why the error was not captured with WhatsApp.",Bug
800,"Hey Jon, I was just checking our DNS records in Atlas and they still look like they're unverified. We have had them set up for a while now, though — was wondering what might be going on?",Feature Request
802,we noticed in our screen recordings that the file picker for uploading in atlas was throwing a ton of these @Adam Kaczmarek Found and fixed the issue — should be out with next deploy. Cool We have to do something to update or it just pulls it on nothing from your side — should get refreshed with new version on page refresh,Feature Request
803,"hey guys, is everything okay with the platform?cant leave this page And try to navigate to inbox directly: app.getatlas.io thank you!checking what is going on with this one it will come back once we fix the issue with this particular page Hey @Marcia ErtelPlease share the link where you experience the issue also, sasha! just sent to ur email a message we received from one of our clients and that wasn't shown on atlascan u check it too, please? yes, the draft is saved in the database tried clicking in both options shown but none lets me go back the other conversations seem to be ok where can i check it? seems to be just in this particular one sure! app.getatlas.io i was writing a pretty big message there 😕any chance we can recover what i was typing? i was answearing a client and the page got refreshed, now i cant go back to the chatbox i tried going back to the inbox too, but when i chose a conversation, it shuts down again if u want to take a look: cc @Esther Batista my wifi is fast and stable, also For any conversation or this particular one? There was an issue with the nested bullet lists that we will look closer Please try to open the conversation now yep, just got back! thanks guys! Please be cautious with multi-level lists while we’re figuring out the underlying issue 🙂 Re: email — where have you sent it? Ah, found in my inbox. Checking",Bug
806,"How do I integrate this into my app? hey William, you find the installation instructions here https://help.getatlas.io/articles/797065-chat-widget-client-side-copy Beautiful - thanks Hi Will, this is Jon, the CEO from Atlas. Would love to learn more about what you're building and help you get fully setup with Atlas. Have time to chat tomorrow or next week? (Here's my calendly in case that's easier.) Hey Jon - thanks. Would love to touch base in the next few days and will find a time on your calendar. Thanks very much.",Sales
809,"#91492#91508This is a duplicate ticket via CHAT. In the chat-widget, the user always have an option available to start a new conversation , which is why there are two separate conversations.This behavior is different from Whatsapp or SMS, where if the last conversation was closed, a new conversation opens up automatically.Here user chose to start a new conversation. #91564#91552 Did the same thing happen in this case? Right, same issue.User started a new conversation, via Chat hey Gabriele, I was checking the user's session recordingSeems like the user wanted to continue the conversation, but due to chat configuration was forced to start a new conversation.I would recommend a change in the chat settings -",Bug
810,"hey there my CSAT automation ins't working, can you help me? hey, tell me i believe i set it up, but it's not showing up when we close a ticket can you share your CSAT config snapshot with me? this looks perfect.Now, for this to work, some conditions are checked• are you closing multiple tickets in bulk      ◦ dont show this modal• have you not responded even once to the question      ◦ dont show this modalBut, If you have responsed to the customer, and you are closing the ticket one by one, the Modal to send CSAT would show up.You can also choose to send the CSAT later, by using the action send csat from the action menu another point to mention is that CSAT is scheduled, and not instant.The scheduling differs per channel.• CHAT: wait for 60 seconds• SMS: wait for 1 hour• EMAIL: wait for 1 daybefore sending the customer CSAT survey.That way user would still have sufficient time to converse before filling CSAT thanks for the answer I've been closing tickets 1 by 1, and I just don't see the option to send the CSAT on the menu. Now it showed automatically after closing the ticket from inside the ticket. let me check what could be the problem. Can you share any ticket number that i can check for? #367 Duvidas aplicativo thanks checking it now. tks Hey Yonathan, I think after changing the CSAT settings, you need to reload the inbox once (cmd + R or ctrl + R), i'e refresh the browser window once, and then it should work in both the places. let me try nice!!! i did and it worked, it showed survey scheduled Did that go to my email? it would go to the channel where the conversation got initiated.So, it would pick email if the conversation got started via email and so on. ok, i will try again. But i never found the option on the menu to send the CSAT... The one you had on your print scren screen weird. Will check that out as well. We have released a new version. Hopefully, that would resolve the issue of modal now showing up in the inbox.",Bug
812,"Boa tarde Marcos,tudo bem?Como solicitado,estamos em contato com o hotel e nosso fornecedor para verificar a possibilidade de isenção da reserva 888024-940194 :Lembrando que se trata de uma tentativa,sem a garantia de sucesso do pedido.Número da Reserva na Iterpec 888024-940194 Cliente/Credencial Portão 3-(COM/CC/À VISTA)Data de check in-09/10/2023 Data de check out-11/10/2023 Pax principal Mr Josuel Ricardo funes Hotel ibis Sao Jose dos Campos Colinas Quarto SINGLE STANDARD Regime Café da manhã Em breve,retornaremos o contato.Um abraço,Janis Pompílio Operação .Brazil+55 11 35007975 Europe+318 520 88 415 As solicitações sempre devem ser encaminhadas para o e-mail operacao@iterpec.com Atendimento emergencial:Após às 19h00 e finais de semana,o suporte é 100%direcionado para questões emergenciais de passageiros em viagem.Dúvidas sobre reservas e operação–operacao@iterpec.com Dúvidas financeiras–financeiro@iterpec.com Manual de Implantação:https://iterpec.com/implantacao/----Em Wed,4 Oct 2023 13:47:24-0300 ""Marcos Telles(Portao 3)""<support@getatlas.io>escreveu----Boa tarde,Gentileza tentar a isenção com o hotel.O pax teve um imprevisto e precisou mudar a data,ele tem mais de uma reserva confirmada com o hotel para os proximos dias.Tentem com eles essa isenção.RESERVA:888024-940194 pax:Josuel Ricardo Funes Atenciosamente,Marcos Telles-Portão 3 Reply to this email directly to update this conversation.Delivered by Atlas on behalf of Portao 3 d4b9cd68-24b2-48fc-b1de-d31fb5152f12  Olá Marcos,tudo bem?Continuamos trabalhando nesta solicitação e assim que tivermos o retorno,informaremos.Um abraço,Janis Pompílio Operação .Brazil+55 11 35007975 Europe+318 520 88 415 As solicitações sempre devem ser encaminhadas para o e-mail operacao@iterpec.com Atendimento emergencial:Após às 19h00 e finais de semana,o suporte é 100%direcionado para questões emergenciais de passageiros em viagem.Dúvidas sobre reservas e operação–operacao@iterpec.com Dúvidas financeiras–financeiro@iterpec.com Manual de Implantação:https://iterpec.com/implantacao/----Em Wed,4 Oct 2023 16:47:52-0300 Operacao<operacao@iterpec.com>escreveu----Boa tarde Marcos,tudo bem?Como solicitado,estamos em contato com o hotel e nosso fornecedor para verificar a possibilidade de isenção da reserva 888024-940194 :Lembrando que se trata de uma tentativa,sem a garantia de sucesso do pedido.Número da Reserva na Iterpec 888024-940194 Cliente/Credencial Portão 3-(COM/CC/À VISTA)Data de check in-09/10/2023 Data de check out-11/10/2023 Pax principal Mr Josuel Ricardo funes Hotel ibis Sao Jose dos Campos Colinas Quarto SINGLE STANDARD Regime Café da manhã Em breve,retornaremos o contato.Um abraço,Janis Pompílio Operação .Brazil+55 11 35007975 Europe+318 520 88 415 As solicitações sempre devem ser encaminhadas para o e-mail operacao@iterpec.com Atendimento emergencial:Após às 19h00 e finais de semana,o suporte é 100%direcionado para questões emergenciais de passageiros em viagem.Dúvidas sobre reservas e operação–operacao@iterpec.com Dúvidas financeiras–financeiro@iterpec.com Manual de Implantação:https://iterpec.com/implantacao/----Em Wed,4 Oct 2023 13:47:24-0300 ""Marcos Telles(Portao 3)""<support@getatlas.io>escreveu----Boa tarde,Gentileza tentar a isenção com o hotel.O pax teve um imprevisto e precisou mudar a data,ele tem mais de uma reserva confirmada com o hotel para os proximos dias.Tentem com eles essa isenção.RESERVA:888024-940194 pax:Josuel Ricardo Funes Atenciosamente,Marcos Telles-Portão 3 Reply to this email directly to update this conversation.Delivered by Atlas on behalf of Portao 3 d4b9cd68-24b2-48fc-b1de-d31fb5152f12  Please email tomailto:mayday@portao3.com.brortomailto:reservas@portao3.com.brTo reach to the Portao3 team.the email mailto:support@getatlas.io is not monitored by Portao3---------------Envíe un correo electrónico a mailto:mayday@portao3.com.bro a mailto:reservas@portao3.com.brLlegar al equipo de Portao3.el correo electrónico mailto:support@getatlas.io no es monitoreado por Portao3--------------- Olá Marcos,Pedimos desculpa pela morosidade no caso.Continuamos trabalhando nesta solicitação e assim que tivermos o retorno,informaremos.Um abraço,Janis Pompílio Operação .Brazil+55 11 35007975 Europe+318 520 88 415 As solicitações sempre devem ser encaminhadas para o e-mail operacao@iterpec.com Atendimento emergencial:Após às 19h00 e finais de semana,o suporte é 100%direcionado para questões emergenciais de passageiros em viagem.Dúvidas sobre reservas e operação–operacao@iterpec.com Dúvidas financeiras–financeiro@iterpec.com Manual de Implantação:https://iterpec.com/implantacao/----Em Fri,6 Oct 2023 01:47:56-0300 ""Piyush Raj(Atlas Support)""<support@getatlas.io>escreveu----Atlas Support Piyush Raj responded to ticket#812 🔔New Response🔔Please email to mailto:mayday@portao3.com.br or to mailto:reservas@portao3.com.br To reach to the Portao3 team.the email mailto:support@getatlas.io is not monitored by Portao3 ---------------Envíe un correo electrónico a mailto:mayday@portao3.com.br o a mailto:reservas@portao3.com.br Llegar al equipo de Portao3.el correo electrónico mailto:support@getatlas.io no es monitoreado por Portao3 ---------------Piyush Raj Oct 05,09:47 PM Reply to this email directly to update this ticket.Delivered by Atlas on behalf of Atlas Support f7b11804-607c-4785-b8ad-1eed66ea48ca  Bom dia Marcos,tudo bem?A isenção para a reserva 888024-940194 foi aprovada.Nosso financeiro já está ciente e fará os ajustes necessários para finalizar a tratativa.Um abraço,Janis Pompílio Operação .Brazil+55 11 35007975 Europe+318 520 88 415 As solicitações sempre devem ser encaminhadas para o e-mail operacao@iterpec.com Atendimento emergencial:Após às 19h00 e finais de semana,o suporte é 100%direcionado para questões emergenciais de passageiros em viagem.Dúvidas sobre reservas e operação–operacao@iterpec.com Dúvidas financeiras–financeiro@iterpec.com Manual de Implantação:https://iterpec.com/implantacao/----Em Fri,6 Oct 2023 16:44:18-0300 Operacao<operacao@iterpec.com>escreveu----Olá Marcos,Pedimos desculpa pela morosidade no caso.Continuamos trabalhando nesta solicitação e assim que tivermos o retorno,informaremos.Um abraço,Janis Pompílio Operação .Brazil+55 11 35007975 Europe+318 520 88 415 As solicitações sempre devem ser encaminhadas para o e-mail operacao@iterpec.com Atendimento emergencial:Após às 19h00 e finais de semana,o suporte é 100%direcionado para questões emergenciais de passageiros em viagem.Dúvidas sobre reservas e operação–operacao@iterpec.com Dúvidas financeiras–financeiro@iterpec.com Manual de Implantação:https://iterpec.com/implantacao/----Em Fri,6 Oct 2023 01:47:56-0300 ""Piyush Raj(Atlas Support)""<support@getatlas.io>escreveu----Atlas Support Piyush Raj responded to ticket#812 🔔New Response🔔Please email to mailto:mayday@portao3.com.br or to mailto:reservas@portao3.com.br To reach to the Portao3 team.the email mailto:support@getatlas.io is not monitored by Portao3 ---------------Envíe un correo electrónico a mailto:mayday@portao3.com.br o a mailto:reservas@portao3.com.br Llegar al equipo de Portao3.el correo electrónico mailto:support@getatlas.io no es monitoreado por Portao3 ---------------Piyush Raj Oct 05,09:47 PM Reply to this email directly to update this ticket.Delivered by Atlas on behalf of Atlas Support f7b11804-607c-4785-b8ad-1eed66ea48ca ",Spam
813,"Helpful improvements?• trim my search string• after I edit the search item, shouldn't duplicate quotes? 💯 on the second one.what do you mean by “trim my search string?” just make it less verbose? 😅 sorry, trim as in the techinical term for remove extra spaces on the begging and end of a string.If I search mailto:fernando@portao3.com.br (there is an extra space there at the end), it won't find me 10-4",Feature Request
814,"Bug? Need help though.Our internal dashboard is not loading. I think this is something to do with Google Sign In page refusing to be loaded inside an iframe? It used to work on Zendesk though, so I can't figure it out myself There's a setting you may need to enable to make this work in Retool @Fernando Nery has this page ever worked for you? You're using Retool right? @Fernando Nery, are you logged into Retool in your browser elsewhere? If not, could you try logging into Retool directly in another window and then refreshing here? @Fernando Nery Just wanted to see what @Jon OBryan said above has helped or not — not hurry, just wanted to make sure this was not missed in many different conversations Hello, I would like to return to this subject. I still can't access retool not sure if this is related to Atlas or Retool, usually logging in Retool in a separate Browser Tab, and then refreshing Atlas works. Please check if that works. @Gabriele Inacio @Fernando Nery would it be possible to invite me to your retool account for a sometime to debug the issue and then you can remove me. It is working for our Atlas and Retool account to would be bit eaiser for us to reproduce @Gabriele Inacio wanted to bring this one back up in case you missed it.Could you or @Fernando Nery invite @Rahul Asati to your retool account briefly so he can debug this issue (just while he’s debugging it)? Hey guys. I think this was something to do with our zero trust platform. We were using retool on premise and I've migrated it last night to cloud retool I'll retry to create the internal dashboard in the following week and so we can test it out. I'll keep you posted on this",Product Question
815,"Hey, could you help me understand why this sidebar arrived without a history from our supplier?Sidebar #63920: Alteração de reserva MUGLST",Bug
